№;Линк категории поставщика;channel;prefix;coef;threshold;Номер_групи;Назва_групи;Ідентифікатор_підрозділу;Посилання_підрозділу;Особисті_нотатки;Ярлик;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
20;"https://viatec.ua/catalog/for-home/0:0;158:keruvannia-garazh";prom;prom_;"0,85";1.28;140905382;Безопасность и комфорт;15380301;https://prom.ua/ua/Mehanizmy-dlya-avtomaticheskih-dverej;"V, Vmin, noindex";;Вага;г;;Тип устройства;;Пристрій відкриття гаражних дверей;;;
21;"https://viatec.ua/catalog/for-home/0:0;158:termo-hub";site;;"0,85";"1,2";22818554;Оборудование для системы Умный дом;120214;https://prom.ua/ua/Sistema-ohlazhdeniya;V;;Вага;г;;Тип устройства;;Термостат+хаб;;;
22;"https://viatec.ua/catalog/for-home/0:0;158:termo-hub";prom;prom_;"0,85";1.28;140905382;Безопасность и комфорт;120214;https://prom.ua/ua/Sistema-ohlazhdeniya;"V, Vmin, noindex";;Вага;г;;Тип устройства;;Термостат+хаб;;;
23;"https://viatec.ua/catalog/for-home/0:0;158:termostat";site;;"0,85";"1,2";22818554;Оборудование для системы Умный дом;120214;https://prom.ua/ua/Sistema-ohlazhdeniya;V;;Вага;г;;Тип устройства;;Термостат для батареї;;;
24;"https://viatec.ua/catalog/for-home/0:0;158:termostat";prom;prom_;"0,85";1.28;140905382;Безопасность и комфорт;120214;https://prom.ua/ua/Sistema-ohlazhdeniya;"V, Vmin, noindex";;Вага;г;;Тип устройства;;Термостат для батареї;;;
25;"https://viatec.ua/catalog/for-home/0:0;158:termostat-sistemi-elektro";site;;"0,85";"1,2";22818554;Оборудование для системы Умный дом;120214;https://prom.ua/ua/Sistema-ohlazhdeniya;V;;Вага;г;;Тип устройства;;Термостат электрической системы отопления;;;
26;"https://viatec.ua/catalog/for-home/0:0;158:termostat-sistemi-elektro";prom;prom_;"0,85";1.28;140905382;Безопасность и комфорт;120214;https://prom.ua/ua/Sistema-ohlazhdeniya;"V, Vmin, noindex";;Вага;г;;Тип устройства;;Термостат электрической системы отопления;;;
27;"https://viatec.ua/catalog/for-home/0:0;158:termostat-sistemi-voda";site;;"0,85";"1,2";22818554;Оборудование для системы Умный дом;120214;https://prom.ua/ua/Sistema-ohlazhdeniya;V;;Вага;г;;Тип устройства;;Термостат водяної системи опалення;;;
28;"https://viatec.ua/catalog/for-home/0:0;158:termostat-sistemi-voda";prom;prom_;"0,85";1.28;140905382;Безопасность и комфорт;120214;https://prom.ua/ua/Sistema-ohlazhdeniya;"V, Vmin, noindex";;Вага;г;;Тип устройства;;Термостат водяної системи опалення;;;
29;"https://viatec.ua/catalog/for-home/0:0;158:rozetka-wifi";site;;"0,85";"1,2";22818554;Оборудование для системы Умный дом;53004;https://prom.ua/ua/Rozetki-elektricheskie;V;;Вага;г;;Тип устройства;;Розетка Wi-Fi;;;
30;"https://viatec.ua/catalog/for-home/0:0;158:rozetka-wifi";prom;prom_;"0,85";1.30;140905382;Безопасность и комфорт;53004;https://prom.ua/ua/Rozetki-elektricheskie;"V, Vmin, noindex";;Вага;г;;Тип устройства;;Розетка Wi-Fi;;;
31;"https://viatec.ua/catalog/for-home/0:0;158:podovzhuvach-wifi";site;;"0,85";"1,2";22818554;Оборудование для системы Умный дом;513;https://prom.ua/ua/Udliniteli-elektricheskie;V;;Вага;г;;Тип устройства;;Подовжувач живлення Wi-Fi;;;
32;"https://viatec.ua/catalog/for-home/0:0;158:podovzhuvach-wifi";prom;prom_;"0,85";1.32;140905382;Безопасность и комфорт;513;https://prom.ua/ua/Udliniteli-elektricheskie;"V, Vmin, noindex";;Вага;г;;Тип устройства;;Подовжувач живлення Wi-Fi;;;
33;"https://viatec.ua/catalog/for-home/0:0;158:led-strichka-wifi";site;;"0,85";"1,2";22818554;Оборудование для системы Умный дом;15040606;https://prom.ua/ua/Led-podsvetka-intererov;V;;Вага;г;;Тип устройства;;LED стрічка;;;
34;"https://viatec.ua/catalog/for-home/0:0;158:led-strichka-wifi";prom;prom_;"0,85";1.31;140905382;Безопасность и комфорт;15040606;https://prom.ua/ua/Led-podsvetka-intererov;"V, Vmin, noindex";;Вага;г;;Тип устройства;;LED стрічка;;;
35;"https://viatec.ua/catalog/for-home/0:0;158:smart-lamp";site;;"0,85";"1,2";22818554;Оборудование для системы Умный дом;15040608;https://prom.ua/ua/Umnye-svetilniki;V;;Вага;г;;Тип устройства;;Смарт лампочка;;;
36;"https://viatec.ua/catalog/for-home/0:0;158:smart-lamp";prom;prom_;"0,85";1.31;140905382;Безопасность и комфорт;15040608;https://prom.ua/ua/Umnye-svetilniki;"V, Vmin, noindex";;Вага;г;;Тип устройства;;Смарт лампочка;;;
37;"https://viatec.ua/catalog/for-home/0:0;158:nastilna-lampa";site;;"0,85";"1,2";22818554;Оборудование для системы Умный дом;39050509;https://prom.ua/ua/Nastolnye-lampy;V;;Вага;г;;Тип устройства;;Настільна лампа;;;
38;"https://viatec.ua/catalog/for-home/0:0;158:nastilna-lampa";prom;prom_;"0,85";1.31;140905382;Безопасность и комфорт;39050509;https://prom.ua/ua/Nastolnye-lampy;"V, Vmin, noindex";;Вага;г;;Тип устройства;;Настільна лампа;;;
39;"https://viatec.ua/catalog/for-home/0:0;158:pidlogova-lampa";site;;"0,85";"1,2";22818554;Оборудование для системы Умный дом;282992;https://prom.ua/ua/Lampy-lupy-kosmetologicheskie;V;;Вага;г;;Тип устройства;;Підлогова лампа трансформер;;;
40;"https://viatec.ua/catalog/for-home/0:0;158:pidlogova-lampa";prom;prom_;"0,85";1.31;140905382;Безопасность и комфорт;282992;https://prom.ua/ua/Lampy-lupy-kosmetologicheskie;"V, Vmin, noindex";;Вага;г;;Тип устройства;;Підлогова лампа трансформер;;;
41;"https://viatec.ua/catalog/for-home/0:0;158:smart-domashni-tvarini";site;;"0,85";"1,2";22818554;Оборудование для системы Умный дом;301105;https://prom.ua/ua/Kamery-videonablyudeniya;V;;Вага;г;;Тип устройства;;Розумна камера для домашніх тварин;;;
42;"https://viatec.ua/catalog/for-home/0:0;158:smart-domashni-tvarini";prom;prom_;"0,85";1.33;140905382;Безопасность и комфорт;301105;https://prom.ua/ua/Kamery-videonablyudeniya;"V, Vmin, noindex";;Вага;г;;Тип устройства;;Розумна камера для домашніх тварин;;;
43;"https://viatec.ua/catalog/for-home/0:0;158:892";site;;"0,85";"1,2";22818554;Оборудование для системы Умный дом;64430;https://prom.ua/ua/Zapchasti-dlya-uvlazhnitelej-ochistitelej-vozduha;V;;Вага;г;;Тип устройства;;Набір фільтрів для очищувача;;;
44;"https://viatec.ua/catalog/for-home/0:0;158:892";prom;prom_;"0,85";1.28;140905382;Безопасность и комфорт;64430;https://prom.ua/ua/Zapchasti-dlya-uvlazhnitelej-ochistitelej-vozduha;"V, Vmin, noindex";;Вага;г;;Тип устройства;;Набір фільтрів для очищувача;;;
45;"https://viatec.ua/catalog/for-home/0:0;158:aromadifuzor";site;;"0,85";"1,2";22818554;Оборудование для системы Умный дом;613;https://prom.ua/ua/Osvezhiteli-vozduha;V;;Вага;г;;Тип устройства;;Аромадифузор;;;
46;"https://viatec.ua/catalog/for-home/0:0;158:aromadifuzor";prom;prom_;"0,85";1.31;140905382;Безопасность и комфорт;613;https://prom.ua/ua/Osvezhiteli-vozduha;"V, Vmin, noindex";;Вага;г;;Тип устройства;;Аромадифузор;;;
47;"https://viatec.ua/catalog/for-home/0:0;158:pilosos";site;;"0,85";"1,2";22818554;Оборудование для системы Умный дом;63023;https://prom.ua/ua/Robot-pylesos;V;;Вага;г;;Тип устройства;;Пилосос;;;
48;"https://viatec.ua/catalog/for-home/0:0;158:pilosos";prom;prom_;"0,85";1.29;140905382;Безопасность и комфорт;63023;https://prom.ua/ua/Robot-pylesos;"V, Vmin, noindex";;Вага;г;;Тип устройства;;Пилосос;;;
49;"https://viatec.ua/catalog/for-home/0:0;158:smart-godivnica";site;;"0,85";"1,2";22818554;Оборудование для системы Умный дом;270204;https://prom.ua/ua/Kormushki-poilki-dlya-domashnih-zhivotnyh;V;;Вага;г;;Тип устройства;;Розумна годівниця з камерою;;;
50;"https://viatec.ua/catalog/for-home/0:0;158:smart-godivnica";prom;prom_;"0,85";1.26;140905382;Безопасность и комфорт;270204;https://prom.ua/ua/Kormushki-poilki-dlya-domashnih-zhivotnyh;"V, Vmin, noindex";;Вага;г;;Тип устройства;;Розумна годівниця з камерою;;;
51;"https://viatec.ua/catalog/for-home/0:0;158:elektrokovdra";site;;"0,85";"1,2";22818554;Оборудование для системы Умный дом;16252401;https://prom.ua/ua/Elektricheskie-prostyni-elektroodeyalo;V;;Вага;г;;Тип устройства;;Електроковдра;;;
52;"https://viatec.ua/catalog/for-home/0:0;158:elektrokovdra";prom;prom_;"0,85";1.31;140905382;Безопасность и комфорт;16252401;https://prom.ua/ua/Elektricheskie-prostyni-elektroodeyalo;"V, Vmin, noindex";;Вага;г;;Тип устройства;;Електроковдра;;;
53;"https://viatec.ua/catalog/for-home/0:0;158:kilim-pidigriv";site;;"0,85";"1,2";22818554;Оборудование для системы Умный дом;62612;https://prom.ua/ua/Kovriki-napolnye-s-podogrevom;V;;Вага;г;;Тип устройства;;Килимок із підігрівом;;;
54;"https://viatec.ua/catalog/for-home/0:0;158:kilim-pidigriv";prom;prom_;"0,85";1.32;140905382;Безопасность и комфорт;62612;https://prom.ua/ua/Kovriki-napolnye-s-podogrevom;"V, Vmin, noindex";;Вага;г;;Тип устройства;;Килимок із підігрівом;;;
55;"https://viatec.ua/catalog/for-home/0:0;tovari-dlia-tvarin:lizhko";site;;"0,85";"1,2";22818554;Оборудование для системы Умный дом;181206;https://prom.ua/ua/Lezhanki-i-podstilki-dlya-domashnih-zhivotnyh;V;;Вага;г;;Тип устройства;;Ліжко для тварин;;;
56;"https://viatec.ua/catalog/for-home/0:0;tovari-dlia-tvarin:lizhko";prom;prom_;"0,85";1.26;140905382;Безопасность и комфорт;181206;https://prom.ua/ua/Lezhanki-i-podstilki-dlya-domashnih-zhivotnyh;"V, Vmin, noindex";;Вага;г;;Тип устройства;;Ліжко для тварин;;;
57;"https://viatec.ua/catalog/for-home/0:0;tovari-dlia-tvarin:poilka";site;;"0,85";"1,2";22818554;Оборудование для системы Умный дом;270204;https://prom.ua/ua/Kormushki-poilki-dlya-domashnih-zhivotnyh;V;;Вага;г;;Тип устройства;;Поїлка для тварин;;;
58;"https://viatec.ua/catalog/for-home/0:0;tovari-dlia-tvarin:poilka";prom;prom_;"0,85";1.26;140905382;Безопасность и комфорт;270204;https://prom.ua/ua/Kormushki-poilki-dlya-domashnih-zhivotnyh;"V, Vmin, noindex";;Вага;г;;Тип устройства;;Поїлка для тварин;;;
59;"https://viatec.ua/catalog/for-home/0:0;tovari-dlia-tvarin:filtr-poilka";site;;"0,85";"1,2";22818554;Оборудование для системы Умный дом;270204;https://prom.ua/ua/Kormushki-poilki-dlya-domashnih-zhivotnyh;V;;Вага;г;;Тип устройства;;Фільтр для поїлок;;;
60;"https://viatec.ua/catalog/for-home/0:0;tovari-dlia-tvarin:filtr-poilka";prom;prom_;"0,85";1.26;140905382;Безопасность и комфорт;270204;https://prom.ua/ua/Kormushki-poilki-dlya-domashnih-zhivotnyh;"V, Vmin, noindex";;Вага;г;;Тип устройства;;Фільтр для поїлок;;;
61;"https://viatec.ua/catalog/for-home/0:0;tovari-dlia-tvarin:osushuvach";site;;"0,85";"1,2";22818554;Оборудование для системы Умный дом;2703;https://prom.ua/ua/Sredstva-uhoda-za-zhivotnymi;V;;Вага;г;;Тип устройства;;Осушувач для тварин;;;
62;"https://viatec.ua/catalog/for-home/0:0;tovari-dlia-tvarin:osushuvach";prom;prom_;"0,85";1.26;140905382;Безопасность и комфорт;2703;https://prom.ua/ua/Sredstva-uhoda-za-zhivotnymi;"V, Vmin, noindex";;Вага;г;;Тип устройства;;Осушувач для тварин;;;
63;"https://viatec.ua/catalog/for-home/0:0;tovari-dlia-tvarin:miska";site;;"0,85";"1,2";22818554;Оборудование для системы Умный дом;270204;https://prom.ua/ua/Kormushki-poilki-dlya-domashnih-zhivotnyh;V;;Вага;г;;Тип устройства;;Миска для тварин;;;
64;"https://viatec.ua/catalog/for-home/0:0;tovari-dlia-tvarin:miska";prom;prom_;"0,85";1.26;140905382;Безопасность и комфорт;270204;https://prom.ua/ua/Kormushki-poilki-dlya-domashnih-zhivotnyh;"V, Vmin, noindex";;Вага;г;;Тип устройства;;Миска для тварин;;;
65;"https://viatec.ua/catalog/for-home/0:0;tovari-dlia-tvarin:godivnica";site;;"0,85";"1,2";22818554;Оборудование для системы Умный дом;270204;https://prom.ua/ua/Kormushki-poilki-dlya-domashnih-zhivotnyh;V;;Вага;г;;Тип устройства;;Годівниця для тварин;;;
66;"https://viatec.ua/catalog/for-home/0:0;tovari-dlia-tvarin:godivnica";prom;prom_;"0,85";1.26;140905382;Безопасность и комфорт;270204;https://prom.ua/ua/Kormushki-poilki-dlya-domashnih-zhivotnyh;"V, Vmin, noindex";;Вага;г;;Тип устройства;;Годівниця для тварин;;;
67;"https://viatec.ua/catalog/for-home/0:0;tovari-dlia-tvarin:lotok";site;;"0,85";"1,2";22818554;Оборудование для системы Умный дом;270225;https://prom.ua/ua/Tualetnye-lotki-dlya-zhivotnyh;V;;Вага;г;;Тип устройства;;Лоток для тварин;;;
68;"https://viatec.ua/catalog/for-home/0:0;tovari-dlia-tvarin:lotok";prom;prom_;"0,85";1.26;140905382;Безопасность и комфорт;270225;https://prom.ua/ua/Tualetnye-lotki-dlya-zhivotnyh;"V, Vmin, noindex";;Вага;г;;Тип устройства;;Лоток для тварин;;;
69;"https://viatec.ua/catalog/for-home/0:0;tovari-dlia-tvarin:perenoska";site;;"0,85";"1,2";22818554;Оборудование для системы Умный дом;181201;https://prom.ua/ua/Sumki-dlya-perenosa-domashnih-zhivotnyh;V;;Вага;г;;Тип устройства;;Переноска для тварин;;;
70;"https://viatec.ua/catalog/for-home/0:0;tovari-dlia-tvarin:perenoska";prom;prom_;"0,85";1.26;140905382;Безопасность и комфорт;181201;https://prom.ua/ua/Sumki-dlya-perenosa-domashnih-zhivotnyh;"V, Vmin, noindex";;Вага;г;;Тип устройства;;Переноска для тварин;;;
71;"https://viatec.ua/catalog/for-home/0:0;tovari-dlia-tvarin:neitralizacia";site;;"0,85";"1,2";22818554;Оборудование для системы Умный дом;2703;https://prom.ua/ua/Sredstva-uhoda-za-zhivotnymi;V;;Вага;г;;Тип устройства;;Нейтралізатор запаху для тварин;;;
72;"https://viatec.ua/catalog/for-home/0:0;tovari-dlia-tvarin:neitralizacia";prom;prom_;"0,85";1.26;140905382;Безопасность и комфорт;2703;https://prom.ua/ua/Sredstva-uhoda-za-zhivotnymi;"V, Vmin, noindex";;Вага;г;;Тип устройства;;Нейтралізатор запаху для тварин;;;
73;"https://viatec.ua/catalog/for-home/0:0;tovari-dlia-tvarin:kilimok";site;;"0,85";"1,2";22818554;Оборудование для системы Умный дом;181206;https://prom.ua/ua/Lezhanki-i-podstilki-dlya-domashnih-zhivotnyh;V;;Вага;г;;Тип устройства;;Килимок для тварин;;;
74;"https://viatec.ua/catalog/for-home/0:0;tovari-dlia-tvarin:kilimok";prom;prom_;"0,85";1.26;140905382;Безопасность и комфорт;181206;https://prom.ua/ua/Lezhanki-i-podstilki-dlya-domashnih-zhivotnyh;"V, Vmin, noindex";;Вага;г;;Тип устройства;;Килимок для тварин;;;
75;"https://viatec.ua/catalog/for-home/0:0;tovari-dlia-tvarin:sushka";site;;"0,85";"1,2";22818554;Оборудование для системы Умный дом;181204;https://prom.ua/ua/Oborudovanie-i-instrumenty-dlya-gruminga;V;;Вага;г;;Тип устройства;;Сушка для тварин;;;
76;"https://viatec.ua/catalog/for-home/0:0;tovari-dlia-tvarin:sushka";prom;prom_;"0,85";1.26;140905382;Безопасность и комфорт;181204;https://prom.ua/ua/Oborudovanie-i-instrumenty-dlya-gruminga;"V, Vmin, noindex";;Вага;г;;Тип устройства;;Сушка для тварин;;;
77;"https://viatec.ua/catalog/for-home/0:0;tovari-dlia-tvarin:zminni-paketi";site;;"0,85";"1,2";22818554;Оборудование для системы Умный дом;2703;https://prom.ua/ua/Sredstva-uhoda-za-zhivotnymi;V;;Вага;г;;Тип устройства;;Змінні пакети для тварин;;;
78;"https://viatec.ua/catalog/for-home/0:0;tovari-dlia-tvarin:zminni-paketi";prom;prom_;"0,85";1.26;140905382;Безопасность и комфорт;2703;https://prom.ua/ua/Sredstva-uhoda-za-zhivotnymi;"V, Vmin, noindex";;Вага;г;;Тип устройства;;Змінні пакети для тварин;;;
79;"https://viatec.ua/catalog/cameras/0:0;cvet:belaya";site;;"0,85";"1,2";8950011;Видеокамеры для видеонаблюдения;301105;https://prom.ua/Kamery-videonablyudeniya;V;;Вага;г;;Тип устройства;;Камери;Колір камери;;Білий
80;"https://viatec.ua/catalog/cameras/0:0;cvet:belaya";prom;prom_;"0,999";1.33;140905382;Безопасность и комфорт;301105;https://prom.ua/Kamery-videonablyudeniya;"V, VMAX, noindex";;Вага;г;;Тип устройства;;Камери;Колір камери;;Білий
81;"https://viatec.ua/catalog/cameras/0:0;cvet:chernaya";site;;"0,85";"1,2";8950011;Видеокамеры для видеонаблюдения;301105;https://prom.ua/Kamery-videonablyudeniya;V;;Вага;г;;Тип устройства;;Камери;Колір камери;;Чорний
82;"https://viatec.ua/catalog/cameras/0:0;cvet:chernaya";prom;prom_;"0,999";1.33;140905382;Безопасность и комфорт;301105;https://prom.ua/Kamery-videonablyudeniya;"V, VMAX, noindex";;Вага;г;;Тип устройства;;Камери;Колір камери;;Чорний
83;"https://viatec.ua/catalog/cameras/0:0;cvet:620";site;;"0,85";"1,2";8950011;Видеокамеры для видеонаблюдения;301105;https://prom.ua/Kamery-videonablyudeniya;V;;Вага;г;;Тип устройства;;Камери;Колір камери;;Сірий
84;"https://viatec.ua/catalog/cameras/0:0;cvet:620";prom;prom_;"0,999";1.33;140905382;Безопасность и комфорт;301105;https://prom.ua/Kamery-videonablyudeniya;"V, VMAX, noindex";;Вага;г;;Тип устройства;;Камери;Колір камери;;Сірий
85;"https://viatec.ua/catalog/cameras/0:0;cvet:622";site;;"0,85";"1,2";8950011;Видеокамеры для видеонаблюдения;301105;https://prom.ua/Kamery-videonablyudeniya;V;;Вага;г;;Тип устройства;;Камери;Колір камери;;Синій
86;"https://viatec.ua/catalog/cameras/0:0;cvet:622";prom;prom_;"0,999";1.33;140905382;Безопасность и комфорт;301105;https://prom.ua/Kamery-videonablyudeniya;"V, VMAX, noindex";;Вага;г;;Тип устройства;;Камери;Колір камери;;Синій
87;"https://viatec.ua/catalog/cameras/0:0;cvet:636";site;;"0,85";"1,2";8950011;Видеокамеры для видеонаблюдения;301105;https://prom.ua/Kamery-videonablyudeniya;V;;Вага;г;;Тип устройства;;Камери;Колір камери;;Червоний
88;"https://viatec.ua/catalog/cameras/0:0;cvet:636";prom;prom_;"0,999";1.33;140905382;Безопасность и комфорт;301105;https://prom.ua/Kamery-videonablyudeniya;"V, VMAX, noindex";;Вага;г;;Тип устройства;;Камери;Колір камери;;Червоний
89;https://viatec.ua/catalog/ptz/0:0;site;;"0,85";"1,2";8950011;Видеокамеры для видеонаблюдения;301105;https://prom.ua/Kamery-videonablyudeniya;V;;Вага;г;;Тип устройства;;PTZ-камери;;;
90;https://viatec.ua/catalog/ptz/0:0;prom;prom_;"0,999";1.33;140905382;Безопасность и комфорт;301105;https://prom.ua/Kamery-videonablyudeniya;"V, VMAX, noindex";;Вага;г;;Тип устройства;;PTZ-камери;;;
91;https://viatec.ua/catalog/termal-cameras/0:0;site;;"0,85";"1,2";8950011;Видеокамеры для видеонаблюдения;301105;https://prom.ua/Kamery-videonablyudeniya;V;;Вага;г;;Тип устройства;;Тепловізійні камери;;;
92;https://viatec.ua/catalog/termal-cameras/0:0;prom;prom_;"0,999";1.33;140905382;Безопасность и комфорт;301105;https://prom.ua/Kamery-videonablyudeniya;"V, VMAX, noindex";;Вага;г;;Тип устройства;;Тепловізійні камери;;;
93;https://viatec.ua/catalog/termal-ptz/0:0;site;;"0,85";"1,2";8950011;Видеокамеры для видеонаблюдения;301105;https://prom.ua/Kamery-videonablyudeniya;V;;Вага;г;;Тип устройства;;Тепловізійні  PTZ-камери;;;
94;https://viatec.ua/catalog/termal-ptz/0:0;prom;prom_;"0,999";1.33;140905382;Безопасность и комфорт;301105;https://prom.ua/Kamery-videonablyudeniya;"V, VMAX, noindex";;Вага;г;;Тип устройства;;Тепловізійні  PTZ-камери;;;
95;https://viatec.ua/catalog/solution-traffic/0:0;site;;"0,85";"1,2";8950011;Видеокамеры для видеонаблюдения;301105;https://prom.ua/Kamery-videonablyudeniya;V;;Вага;г;;Тип устройства;;Відеоконтроль трафіку;;;
96;https://viatec.ua/catalog/solution-traffic/0:0;prom;prom_;"0,999";1.33;140905382;Безопасность и комфорт;301105;https://prom.ua/Kamery-videonablyudeniya;"V, VMAX, noindex";;Вага;г;;Тип устройства;;Відеоконтроль трафіку;;;
97;https://viatec.ua/catalog/solution-mobile/0:0;site;;"0,85";"1,2";8950011;Видеокамеры для видеонаблюдения;301105;https://prom.ua/Kamery-videonablyudeniya;V;;Вага;г;;Тип устройства;;Портативні камери;;;
98;https://viatec.ua/catalog/solution-mobile/0:0;prom;prom_;"0,999";1.33;140905382;Безопасность и комфорт;301105;https://prom.ua/Kamery-videonablyudeniya;"V, VMAX, noindex";;Вага;г;;Тип устройства;;Портативні камери;;;
99;"https://viatec.ua/catalog/dvr/0:0;proizvoditel:dahua,hikvision,safetyeye,1317";site;;"0,85";"1,2";8950007;Видеорегистраторы для видеонаблюдения;301101;https://prom.ua/Videoregistratory;V;;Вага;г;;Тип устройства;;Реєстратори;;;
100;"https://viatec.ua/catalog/dvr/0:0;proizvoditel:dahua,hikvision,safetyeye,1317";prom;prom_;"0,999";1.31;140905382;Безопасность и комфорт;301101;https://prom.ua/Videoregistratory;"V, VMAX, noindex";;Вага;г;;Тип устройства;;Реєстратори;;;
